card_code,card_name,set_name
s10a-74,Gengar,Dark Phantasma
s10a-75,Hisuian Arcanine,Dark Phantasma
s11a-69,Braixen,Incandescent Arcana
s11a-70,Milotic,Incandescent Arcana
s12a-185,Deoxys,VSTAR Universe
s12a-190,Galarian Moltres,VSTAR Universe
s12a-195,Latias,VSTAR Universe
s8b-187,Charizard,VMAX Climax
s8b-188,Flareon,VMAX Climax
s8b-189,Vaporeon,VMAX Climax
s8b-191,Octillery,VMAX Climax
s8b-192,Frosmoth,VMAX Climax
s8b-193,Jolteon,VMAX Climax
s8b-195,Zekrom,VMAX Climax
s8b-205,Ariados,VMAX Climax
s8b-206,Houndoom,VMAX Climax
s8b-210,Eevee,VMAX Climax
s9a-70,Wyrdeer,Battle Region
s9a-72,Mightyena,Battle Region
sv10-101,Blaziken,Glory of Team Rocket
sv10-103,Team Rocket's Wobbuffet,Glory of Team Rocket
sv10-105,Team Rocket's Weezing,Glory of Team Rocket
sv1a-75,Sprigatito,Triplet Beat
sv1a-76,Floragato,Triplet Beat
sv1a-78,Fuecoco,Triplet Beat
sv1a-81,Quaxly,Triplet Beat
sv1s-83,Ralts,Scarlet ex
sv1s-84,Kirlia,Scarlet ex
sv1s-86,Riolu,Scarlet ex
sv1s-90,Starly,Scarlet ex
sv1v-82,Slowpoke,Violet ex
sv1v-86,Drowzee,Violet ex
sv2a-166,Bulbasaur,Pokemon Card 151
sv2a-167,Ivysaur,Pokemon Card 151
sv2a-168,Charmander,Pokemon Card 151
sv2a-169,Charmeleon,Pokemon Card 151
sv2a-170,Squirtle,Pokemon Card 151
sv2a-171,Wartortle,Pokemon Card 151
sv2a-173,Pikachu,Pokemon Card 151
sv2a-175,Psyduck,Pokemon Card 151
sv2a-176,Poliwhirl,Pokemon Card 151
sv2a-177,Machoke,Pokemon Card 151
sv2a-181,Snorlax,Pokemon Card 151
sv2a-182,Dragonair,Pokemon Card 151
sv2a-183,Mewtwo,Pokemon Card 151
sv2d-74,Raichu,Clay Burst
sv2d-76,Tinkatink,Clay Burst
sv2d-79,Tyranitar,Clay Burst
sv2p-73,Marill,Snow Hazard
sv3-110,Ninetails,Ruler of the Black Flame
sv3-113,Clefairy,Ruler of the Black Flame
sv3a-64,Mantyke,Raging Surf
sv3a-65,Plusle,Raging Surf
sv3a-66,Minun,Raging Surf
sv3a-69,Groudon,Raging Surf
sv3a-71,Yveltal,Raging Surf
sv4a-341,Mimikyu,Shiny Treasure ex
sv4m-74,Steelix,Future Flash
sv4m-76,Swablu,Future Flash
sv5a-78,Eevee,Crimson Haze
sv5k-82,Minccino,Wild Force
sv5k-83,Cinccino,Wild Force
sv5m-73,Deerling,Cyber Judge
sv5m-74,Sawsbuck,Cyber Judge
sv5m-80,Metagross,Cyber Judge
sv6-113,Chansey,Mask of Change
sv6a-66,Houndoom,Night Wanderer
sv6a-68,Duskull,Night Wanderer
sv6a-69,Dusclops,Night Wanderer
sv6a-70,Dusknoir,Night Wanderer
sv6a-72,Zorua,Night Wanderer
sv6a-75,Persian,Night Wanderer
sv7a-70,Latios,Paradise Dragona
sv8-109,Ceruledge,Super Electric Breaker
sv8-112,Magneton,Super Electric Breaker
sv8-114,Mesprit,Super Electric Breaker
sv9-102,Articuno,Battle Partners
sv9-104,Iono's Kilowattrel,Battle Partners
sv9-108,N's Zorua,Battle Partners
sv9-109,N's Reshiram,Battle Partners
sv9a-65,Cynthia's Roserade,Heat Wave Arena
sv9a-70,Ethan's Typhlosion,Heat Wave Arena
sv9a-71,Misty's Psyduck,Heat Wave Arena
sv9a-72,Misty's Lapras,Heat Wave Arena
